População,Gerações,Cruzamento,TaxaCruz,TaxaMut,Elitismo,Melhor,Média,Desvio,Média das Gerações,Desvio das Gerações
20,20,Media,60%,1%,False,0.0035956339157796,0.4291173212651794,0.5757040393303161,0.6673599003132322,0.683276884667605
20,20,Media,60%,1%,True,0.0005170660787752,0.2050859291189314,0.294796261624868,0.4706172851111699,0.751681915403565
20,20,Media,60%,5%,False,0.0015531012822234,0.1673505264725316,0.3125733123799413,0.308533538332118,0.1856162988805114
20,20,Media,60%,5%,True,1.1334943792906673e-05,0.1015575278966443,0.1411879685806875,0.1868377302054329,0.2781548878671832
20,20,Media,60%,10%,False,0.0002420401493457,0.1168121065179909,0.2666583134024251,0.6662213321581678,1.1527141666633929
20,20,Media,60%,10%,True,0.0002689500274652,0.0818694543337238,0.09612283756263,0.379198584991219,0.6878316958160511
20,20,Media,80%,1%,False,0.0001002254141693,0.1697996396160758,0.2618223810647956,0.6563902349207928,1.1242820299698526
20,20,Media,80%,1%,True,0.0005008483633877,0.4165503270544191,0.5494885225171421,0.412788432937222,0.8126491948579166
20,20,Media,80%,5%,False,0.0006335590145529,0.1172932643015177,0.3135099601391492,0.4252511546032666,0.7638591375917652
20,20,Media,80%,5%,True,0.0006017118859671,0.0810556714348542,0.1105631160211015,0.2216457125704446,0.6287417921368453
20,20,Media,80%,10%,False,0.000474220182856,0.0391686419263448,0.0489717047326467,0.2667635085006267,0.622023705225654
20,20,Media,80%,10%,True,0.0001517054294599,0.0500795081508912,0.0576431667285406,0.4783848622610192,0.7910969026256925
20,20,Media,100%,1%,False,2.686405421359339e-05,0.1866625228301768,0.2329719401310152,0.1476357449779693,0.4531667783834632
20,20,Media,100%,1%,True,0.000888058265954,0.275948368410517,0.3731700665924667,0.3663073559879501,0.6020899856497852
20,20,Media,100%,5%,False,0.0003232647097033,0.0759131152650421,0.0674077179271403,0.748268842702824,0.6739673290937133
20,20,Media,100%,5%,True,7.688843301822956e-05,0.0475910576663358,0.0697484525024182,0.1577501315935271,0.3201996618955893
20,20,Media,100%,10%,False,0.0019305093059398,0.0406465599079243,0.0554276913023591,0.4381264632442779,0.680839359329351
20,20,Media,100%,10%,True,6.261055597933662e-05,0.1012497137952908,0.161463159579585,0.4318672600633659,0.712427896083212
20,20,BLXab,60%,1%,False,7.071607875719366e-06,0.1447624413185393,0.3345329491844095,0.8298452428372552,1.2585897434969902
20,20,BLXab,60%,1%,True,4.383922171813381e-05,0.0069283568512982,0.0113533269416413,1.185706181141972,1.252559683373086
